"cgHdId","startDtEarly","startDtLate","endDtEarly","endDtLate","phenYear","cgPlaId","phenNote","start","end","hdCt","start.numeric","duration","midpoint","mid.yday","DAM","z","z.start","year.pop","year.pop.prop"
2006000268,"2006-07-05","2006-07-05","2006-07-13","2006-07-14",2006,140,"","2006-07-05","2006-07-14",1,13334,9,"2006-07-09",189,-3,-0.685561599565465,0.116995235590055,150,0.108225108225108
2007000042,"2007-06-26","2007-06-27","2007-07-03","2007-07-04",2007,140,"","2007-06-26","2007-07-04",1,13690,8,"2007-06-30",180,-3,-0.966668663389975,0.0409130990500851,175,0.126262626262626
2013001451,"2013-07-25","2013-07-25","2013-08-05","2013-08-05",2013,140,"","2013-07-25","2013-08-05",1,15911,11,"2013-07-30",210,3,0.520134971326555,1.35602729802091,107,0.0772005772005772
2006000263,"2006-07-02","2006-07-02","2006-07-13","2006-07-14",2006,141,"","2006-07-02","2006-07-16",2,13331,14,"2006-07-09",189,-3,-0.685561599565465,-0.474553708404603,150,0.108225108225108
2008001228,"2008-07-14","2008-07-14","2008-07-23","2008-07-23",2008,141,"","2008-07-14","2008-07-25",2,14074,11,"2008-07-19",200,-6,-1.09840441761501,-0.565636297567311,142,0.102453102453102
2009001139,"2009-07-04","2009-07-04","2009-07-15","2009-07-15",2009,141,"","2009-07-04","2009-07-15",1,14429,11,"2009-07-09",189,-4,-1.17565779642871,-0.240485159259771,148,0.106782106782107
2011001999,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",2011,141,"","2011-07-13","2011-07-24",1,15168,11,"2011-07-18",198,-4,-1.13530684109099,-0.420491300265514,188,0.135642135642136
2013001449,"2013-07-23","2013-07-23","2013-08-07","2013-08-07",2013,141,"","2013-07-20","2013-08-07",2,15906,18,"2013-07-29",209,2,0.301882257867962,0.132629988676581,107,0.0772005772005772
2005000401,"2005-07-11","2005-07-11","2005-07-18","2005-07-18",2005,142,"","2005-07-08","2005-07-18",2,12972,10,"2005-07-13",193,2,0.349527464458324,0.764926707099091,104,0.075036075036075
2006000257,"2006-07-07","2006-07-07","2006-07-15","2006-07-16",2006,142,"","2006-07-07","2006-07-18",2,13336,11,"2006-07-12",192,0,-0.011974875101582,0.51136119825316,150,0.108225108225108
2007000039,"2007-07-05","2007-07-06","2007-07-15","2007-07-16",2007,142,"","2007-07-05","2007-07-16",1,13699,11,"2007-07-10",190,7,1.9804918957258,3.2628196492439,175,0.126262626262626
2014000049,"2014-07-16","2014-07-16","2014-07-26","2014-07-26",2014,142,"","2014-07-16","2014-07-26",1,16267,10,"2014-07-21",201,4,0.900020441444816,1.44404206847967,90,0.0649350649350649
2005000403,"2005-06-29","2005-06-29","2005-07-11","2005-07-11",2005,143,"","2005-06-29","2005-07-23",2,12963,24,"2005-07-11",191,0,-0.141700323429047,-1.38513755069296,104,0.075036075036075
2006000246,"2006-06-27","2006-06-27","2006-07-09","2006-07-10",2006,143,"","2006-06-27","2006-07-18",5,13326,21,"2006-07-07",187,-5,-1.13461941587472,-1.46046861506237,150,0.108225108225108
2007000034,"2007-06-26","2007-06-27","2007-07-09","2007-07-10",2007,143,"","2007-06-25","2007-07-12",5,13689,17,"2007-07-03",183,0,-0.0825204956552421,-0.317076517638117,175,0.126262626262626
2008001225,"2008-07-13","2008-07-13","2008-07-26","2008-07-26",2008,143,"","2008-07-11","2008-07-26",3,14071,15,"2008-07-18",199,-7,-1.27998000236627,-1.09873599394712,142,0.102453102453102
NA,"2010-07-02","2010-7-2 0:00:00","2010-7-13 0:00:00","2010-07-13",2010,143,"","2010-07-02","2010-07-13",1,14792,11,"2010-07-07",187,0,-0.0748376241586255,0.272124821976778,100,0.0721500721500721
2011001995,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",2011,143,"","2011-07-14","2011-07-30",4,15169,16,"2011-07-22",202,0,-0.0148990399093285,-0.164658405605588,188,0.135642135642136
2012000712,"2012-06-26","2012-06-26","2012-07-04","2012-07-04",2012,143,"","2012-06-26","2012-07-05",2,15517,9,"2012-06-30",181,-3,-0.695068032018251,-0.337294217800409,47,0.0339105339105339
2005000406,"2005-07-06","2005-07-06","2005-07-15","2005-07-15",2005,145,"","2005-07-06","2005-07-15",1,12970,9,"2005-07-10",190,-1,-0.387314217372732,0.287134649811969,104,0.075036075036075
2006000231,"2006-07-02","2006-07-02","2006-07-11","2006-07-12",2006,145,"","2006-07-02","2006-07-22",6,13331,20,"2006-07-12",192,0,-0.011974875101582,-0.474553708404603,150,0.108225108225108
2007000031,"2007-06-26","2007-06-27","2007-07-07","2007-07-08",2007,145,"","2007-06-26","2007-07-12",2,13690,16,"2007-07-04",184,1,0.212195560256336,0.0409130990500851,175,0.126262626262626
2013001448,"2013-07-17","2013-07-17","2013-07-26","2013-07-26",2013,145,"","2013-07-17","2013-07-26",1,15903,9,"2013-07-21",201,-6,-1.44413944980078,-0.601408396930019,107,0.0772005772005772
2015001422,"2015-07-26","2015-07-26","2015-08-04","2015-08-04",2015,145,"","2015-07-16","2015-08-04",2,16632,19,"2015-07-25",205,1,0.247789348637388,-0.180781756796615,135,0.0974025974025974
2007000105,"2007-06-26","2007-06-27","2007-07-05","2007-07-06",2007,151,"","2007-06-26","2007-07-10",2,13690,14,"2007-07-03",183,0,-0.0825204956552421,0.0409130990500851,175,0.126262626262626
2008001344,"2008-07-24","2008-07-24","2008-08-04","2008-08-04",2008,151,"","2008-07-18","2008-08-05",4,14078,18,"2008-07-27",208,2,0.354200260395064,0.145163297605773,142,0.102453102453102
2009001256,"2009-07-05","2009-07-05","2009-07-18","2009-07-18",2009,151,"","2009-07-05","2009-07-29",3,14430,24,"2009-07-17",197,4,0.827189442379343,0.0637182900602786,148,0.106782106782107
2011002202,"2011-07-18","2011-07-18","2011-07-25","2011-07-25",2011,151,"","2011-07-13","2011-08-05",5,15168,23,"2011-07-24",204,2,0.545304860681504,-0.420491300265514,188,0.135642135642136
2013001594,"2013-07-20","2013-07-20","2013-08-01","2013-08-01",2013,151,"","2013-07-20","2013-08-11",3,15906,22,"2013-07-31",211,4,0.738387684785148,0.132629988676581,107,0.0772005772005772
2015001526,"2015-07-27","2015-07-27","2015-08-04","2015-08-06",2015,151,"","2015-07-27","2015-08-06",1,16643,10,"2015-08-01",212,8,1.81933924435774,2.17413849621195,135,0.0974025974025974
2007000104,"2007-06-24","2007-06-24","2007-07-07","2007-07-08",2007,152,"","2007-06-24","2007-07-08",1,13688,14,"2007-07-01",181,-2,-0.671952607478397,-0.675066134326318,175,0.126262626262626
2008001340,"2008-07-21","2008-07-21","2008-08-02","2008-08-02",2008,152,"","2008-07-20","2008-08-09",4,14080,20,"2008-07-30",211,5,0.898927014648842,0.500563095192316,142,0.102453102453102
2009001255,"2009-07-17","2009-07-17","2009-08-08","2009-08-08",2009,152,"","2009-07-17","2009-08-08",1,14442,22,"2009-07-28",208,15,3.58110439574042,3.71415968190087,148,0.106782106782107
NA,"2010-07-01","2010-7-1 0:00:00","2010-7-24 0:00:00","2010-07-24",2010,152,"","2010-07-01","2010-07-24",1,14791,23,"2010-07-12",192,5,1.2154662406453,0.020157394220505,100,0.0721500721500721
2011002200,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",2011,152,"","2011-07-12","2011-08-04",2,15167,23,"2011-07-23",203,1,0.265202910386088,-0.676324194925441,188,0.135642135642136
2012000813,"2012-06-27","2012-06-27","2012-07-10","2012-07-10",2012,152,"","2012-06-27","2012-07-10",1,15518,13,"2012-07-03",184,0,0.036309524060658,-0.0970998505789072,47,0.0339105339105339
2013001592,"2013-07-18","2013-07-18","2013-08-01","2013-08-01",2013,152,"","2013-07-18","2013-08-01",2,15904,14,"2013-07-25",205,-2,-0.57112859596641,-0.356728935061152,107,0.0772005772005772
2014000050,"2014-07-19","2014-07-19","2014-08-04","2014-08-04",2014,152,"","2014-07-19","2014-08-04",1,16270,16,"2014-07-27",207,10,2.31284322743377,2.17145131939294,90,0.0649350649350649
2015001524,"2015-07-10","2015-07-10","2015-07-21","2015-07-21",2015,152,"","2015-07-10","2015-08-10",2,16626,31,"2015-07-25",205,1,0.247789348637388,-1.4652837129831,135,0.0974025974025974
2007000102,"2007-07-01","2007-07-02","2007-07-15","2007-07-16",2007,153,"","2007-07-01","2007-07-16",2,13695,15,"2007-07-08",188,5,1.39105978390265,1.83086118249109,175,0.126262626262626
2009001249,"2009-07-07","2009-07-07","2009-07-25","2009-07-25",2009,153,"","2009-07-04","2009-07-26",6,14429,22,"2009-07-15",195,2,0.326477632677329,-0.240485159259771,148,0.106782106782107
2012000812,"2012-06-30","2012-06-30","2012-07-14","2012-07-14",2012,153,"","2012-06-30","2012-07-14",1,15521,14,"2012-07-07",188,4,1.01147959883254,0.623483251085599,47,0.0339105339105339
2014000051,"2014-07-09","2014-07-09","2014-07-26","2014-07-26",2014,153,"","2014-07-09","2014-07-27",3,16260,18,"2014-07-18",198,1,0.193609048450338,-0.253246183651287,90,0.0649350649350649
2015001518,"2015-07-16","2015-07-16","2015-07-29","2015-07-29",2015,153,"","2015-07-07","2015-08-02",5,16623,26,"2015-07-20",200,-4,-0.874746291162863,-2.10753469107635,135,0.0974025974025974
NA,"2010-07-03","2010-7-3 0:00:00","2010-7-13 0:00:00","2010-07-13",2010,154,"","2010-07-03","2010-07-13",1,14793,10,"2010-07-08",188,1,0.183223148802159,0.524092249733052,100,0.0721500721500721
2011002197,"2011-07-20","2011-07-24","2011-07-31","2011-07-31",2011,154,"","2011-07-10","2011-07-31",2,15165,21,"2011-07-20",200,-2,-0.575102940500161,-1.18798998424529,188,0.135642135642136
2012000810,"2012-06-26","2012-06-26","2012-07-05","2012-07-05",2012,154,"","2012-06-26","2012-07-05",1,15517,9,"2012-06-30",181,-3,-0.695068032018251,-0.337294217800409,47,0.0339105339105339
2013001591,"2013-07-22","2013-07-22","2013-08-07","2013-08-07",2013,154,"","2013-07-22","2013-08-07",1,15908,16,"2013-07-30",210,3,0.520134971326555,0.621988912414314,107,0.0772005772005772
2015001517,"2015-07-15","2015-07-15","2015-07-25","2015-07-26",2015,154,"","2015-07-15","2015-07-26",1,16631,11,"2015-07-20",200,-4,-0.874746291162863,-0.39486541616103,135,0.0974025974025974
2006000343,"2006-07-11","2006-07-11","2006-07-23","2006-07-24",2006,157,"","2006-06-29","2006-07-24",3,13328,25,"2006-07-11",191,-1,-0.23650378325621,-1.06610265239926,150,0.108225108225108
2007000098,"2007-06-21","2007-06-21","2007-07-09","2007-07-10",2007,157,"","2007-06-21","2007-07-10",2,13685,19,"2007-06-30",180,-3,-0.966668663389975,-1.74903498439092,175,0.126262626262626
NA,"2010-06-26","2010-6-26 0:00:00","2010-7-9 0:00:00","2010-07-09",2010,157,"","2010-06-26","2010-07-09",1,14786,13,"2010-07-02",182,-5,-1.36514148896255,-1.23967974456086,100,0.0721500721500721
2011002191,"2011-07-11","2011-07-11","2011-07-20","2011-07-24",2011,157,"","2011-07-10","2011-07-24",6,15165,14,"2011-07-17",197,-5,-1.41540879138641,-1.18798998424529,188,0.135642135642136
2013001589,"2013-07-17","2013-07-17","2013-07-26","2013-07-26",2013,157,"","2013-07-17","2013-08-05",2,15903,19,"2013-07-26",206,-1,-0.352875882507817,-0.601408396930019,107,0.0772005772005772
2006000341,"2006-07-08","2006-07-08","2006-07-17","2006-07-18",2006,159,"","2006-07-08","2006-07-18",2,13337,10,"2006-07-13",193,1,0.212554033053046,0.708544179584713,150,0.108225108225108
2007000093,"2007-06-28","2007-06-29","2007-07-05","2007-07-06",2007,159,"","2007-06-28","2007-07-12",3,13692,14,"2007-07-05",185,2,0.506911616167913,0.756892332426489,175,0.126262626262626
2009001245,"2009-07-07","2009-07-07","2009-07-16","2009-07-16",2009,159,"","2009-07-07","2009-07-26",4,14432,19,"2009-07-16",196,3,0.576833537528336,0.672125188700378,148,0.106782106782107
NA,"2010-07-05","2010-7-5 0:00:00","2010-7-18 0:00:00","2010-07-18",2010,159,"","2010-07-05","2010-07-18",1,14795,13,"2010-07-11",191,4,0.957405467684513,1.0280271052456,100,0.0721500721500721
2011002189,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",2011,159,"","2011-07-19","2011-07-30",2,15174,11,"2011-07-24",204,2,0.545304860681504,1.11450606769404,188,0.135642135642136
